table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Lenoir County, North Carolina	55,124	55,050	54,693	54,633
.Lincoln County, North Carolina	86,816	87,206	89,870	93,095
.McDowell County, North Carolina	44,577	44,580	44,586	44,753
.Macon County, North Carolina	37,016	37,092	37,488	38,065
.Madison County, North Carolina	21,192	21,228	21,645	21,768
.Martin County, North Carolina	22,035	21,953	21,742	21,508
.Mecklenburg County, North Carolina	1,115,526	1,116,788	1,125,809	1,145,392
.Mitchell County, North Carolina	14,906	14,906	14,982	15,094
.Montgomery County, North Carolina	25,752	25,719	25,853	25,894
.Moore County, North Carolina	99,725	100,267	102,952	105,531
.Nash County, North Carolina	94,967	95,148	95,227	95,789
.New Hanover County, North Carolina	225,705	226,307	229,930	234,921
.Northampton County, North Carolina	17,474	17,435	17,093	16,779
.Onslow County, North Carolina	204,585	204,937	204,660	207,298
.Orange County, North Carolina	148,707	143,583	148,610	150,477
.Pamlico County, North Carolina	12,274	12,303	12,347	12,381
.Pasquotank County, North Carolina	40,568	40,577	40,746	40,938
.Pender County, North Carolina	60,208	60,642	63,072	65,737
.Perquimans County, North Carolina	13,006	13,016	13,126	13,210
.Person County, North Carolina	39,093	39,187	39,172	39,386
.Pitt County, North Carolina	170,241	170,378	172,273	173,542
.Polk County, North Carolina	19,330	19,383	19,691	19,986
.Randolph County, North Carolina	144,151	144,418	145,109	146,043
.Richmond County, North Carolina	42,953	42,916	42,842	42,778
.Robeson County, North Carolina	116,516	116,305	116,229	116,663
.Rockingham County, North Carolina	91,100	91,188	91,260	91,957
.Rowan County, North Carolina	146,878	147,148	148,012	149,645
.Rutherford County, North Carolina	64,444	64,479	64,618	64,963
.Sampson County, North Carolina	59,040	59,078	59,080	59,120
.Scotland County, North Carolina	34,180	34,141	34,175	34,162
.Stanly County, North Carolina	62,506	62,638	63,108	64,153
.Stokes County, North Carolina	44,523	44,565	44,641	45,175
.Surry County, North Carolina	71,367	71,372	71,196	71,403
.Swain County, North Carolina	14,115	14,099	14,149	13,967
.Transylvania County, North Carolina	32,986	33,046	33,255	33,355
.Tyrrell County, North Carolina	3,247	3,239	3,377	3,365
.Union County, North Carolina	238,233	239,443	244,260	249,070
.Vance County, North Carolina	42,570	42,535	42,103	42,138
.Wake County, North Carolina	1,129,393	1,130,685	1,152,357	1,175,021
.Warren County, North Carolina	18,642	18,598	18,791	18,713
.Washington County, North Carolina	11,001	10,976	10,909	10,828
.Watauga County, North Carolina	54,077	54,117	54,962	55,089
.Wayne County, North Carolina	117,324	117,266	116,866	117,286
.Wilkes County, North Carolina	65,968	65,904	65,818	65,784
.Wilson County, North Carolina	78,786	78,807	78,283	78,449
.Yadkin County, North Carolina	37,211	37,246	37,258	37,463
.Yancey County, North Carolina	18,470	18,490	18,776	18,811
.Adams County, North Dakota	2,200	2,187	2,152	2,115
.Barnes County, North Dakota	10,848	10,847	10,812	10,758
.Benson County, North Dakota	5,951	5,931	5,778	5,770
.Billings County, North Dakota	945	933	961	1,018
.Bottineau County, North Dakota	6,378	6,384	6,437	6,376
.Bowman County, North Dakota	2,997	2,984	2,902	2,894
.Burke County, North Dakota	2,211	2,208	2,173	2,155
.Burleigh County, North Dakota	98,466	98,594	98,967	99,280
.Cass County, North Dakota	184,528	184,874	189,293	192,734
.Cavalier County, North Dakota	3,706	3,694	3,664	3,597
.Dickey County, North Dakota	5,002	4,971	4,905	4,923
.Divide County, North Dakota	2,202	2,212	2,191	2,187
.Dunn County, North Dakota	4,096	4,100	4,025	4,015
.Eddy County, North Dakota	2,338	2,320	2,322	2,314
.Emmons County, North Dakota	3,306	3,293	3,262	3,250
.Foster County, North Dakota	3,396	3,388	3,362	3,378
.Golden Valley County, North Dakota	1,730	1,720	1,757	1,744
.Grand Forks County, North Dakota	73,169	73,126	72,512	72,413
.Grant County, North Dakota	2,302	2,289	2,311	2,243
.Griggs County, North Dakota	2,306	2,297	2,284	2,252
.Hettinger County, North Dakota	2,483	2,467	2,422	2,406
.Kidder County, North Dakota	2,395	2,387	2,361	2,393
.LaMoure County, North Dakota	4,091	4,101	4,095	4,098
.Logan County, North Dakota	1,880	1,890	1,882	1,855
.McHenry County, North Dakota	5,332	5,311	5,239	5,189
.McIntosh County, North Dakota	2,529	2,511	2,506	2,475
.McKenzie County, North Dakota	14,709	14,776	13,851	13,908
.McLean County, North Dakota	9,770	9,756	9,794	9,824
.Mercer County, North Dakota	8,354	8,348	8,330	8,333
.Morton County, North Dakota	33,287	33,313	33,560	33,710
.Mountrail County, North Dakota	9,812	9,807	9,593	9,290
.Nelson County, North Dakota	3,015	2,993	3,044	2,995
.Oliver County, North Dakota	1,876	1,869	1,873	1,856
.Pembina County, North Dakota	6,832	6,823	6,775	6,763
.Pierce County, North Dakota	3,983	3,968	3,943	3,942
.Ramsey County, North Dakota	11,604	11,573	11,598	11,515
.Ransom County, North Dakota	5,699	5,690	5,667	5,640
.Renville County, North Dakota	2,282	2,273	2,262	2,220
.Richland County, North Dakota	16,528	16,527	16,570	16,580
.Rolette County, North Dakota	12,192	12,195	12,086	11,933
.Sargent County, North Dakota	3,860	3,836	3,819	3,795
.Sheridan County, North Dakota	1,273	1,267	1,270	1,295
.Sioux County, North Dakota	3,897	3,882	3,759	3,711
.Slope County, North Dakota	699	695	686	672
.Stark County, North Dakota	33,647	33,828	33,059	32,803
.Steele County, North Dakota	1,788	1,787	1,798	1,788
.Stutsman County, North Dakota	21,607	21,556	21,591	21,487
.Towner County, North Dakota	2,163	2,147	2,133	2,064
.Traill County, North Dakota	8,000	7,988	7,990	7,958
.Walsh County, North Dakota	10,558	10,524	10,479	10,438
.Ward County, North Dakota	69,933	69,923	69,437	68,870
.Wells County, North Dakota	3,986	3,971	3,905	3,930
.Williams County, North Dakota	40,950	41,184	38,487	38,109
.Adams County, Ohio	27,474	27,440	27,513	27,420
.Allen County, Ohio	102,204	102,107	101,792	101,115
.Ashland County, Ohio	52,443	52,468	52,340	52,181
.Ashtabula County, Ohio	97,596	97,516	97,452	97,014
.Athens County, Ohio	62,421	62,371	59,086	58,979
.Auglaize County, Ohio	46,421	46,461	46,240	45,948
.Belmont County, Ohio	66,495	66,283	65,895	65,509
.Brown County, Ohio	43,674	43,671	43,690	43,680
.Butler County, Ohio	390,378	390,872	387,791	388,420
.Carroll County, Ohio	26,714	26,697	26,671	26,659
.Champaign County, Ohio	38,707	38,734	38,782	38,709
.Clark County, Ohio	135,973	135,879	135,747	134,831
.Clermont County, Ohio	208,592	208,738	209,867	210,805
.Clinton County, Ohio	42,022	42,023	42,100	41,964
.Columbiana County, Ohio	101,873	101,634	101,250	100,511
.Coshocton County, Ohio	36,602	36,578	36,614	36,571
.Crawford County, Ohio	42,010	42,003	41,797	41,522
.Cuyahoga County, Ohio	1,264,813	1,262,523	1,247,808	1,236,041
.Darke County, Ohio	51,883	51,897	51,645	51,529
.Defiance County, Ohio	38,274	38,254	38,216	38,187
.Delaware County, Ohio	214,120	215,139	221,186	226,296
.Erie County, Ohio	75,619	75,475	74,918	74,501
.Fairfield County, Ohio	158,918	159,443	161,182	162,898
.Fayette County, Ohio	28,947	28,971	28,929	28,839
.Franklin County, Ohio	1,323,800	1,324,357	1,317,560	1,321,820
.Fulton County, Ohio	42,713	42,643	42,473	42,171
.Gallia County, Ohio	29,227	29,241	29,220	29,068
.Geauga County, Ohio	95,403	95,347	95,649	95,469
.Greene County, Ohio	167,971	168,119	167,628	168,456
.Guernsey County, Ohio	38,434	38,415	38,263	38,098
.Hamilton County, Ohio	830,625	830,320	827,501	825,037
.Hancock County, Ohio	74,926	74,930	74,775	74,861
.Hardin County, Ohio	30,691	30,724	30,446	30,416
.Harrison County, Ohio	14,482	14,486	14,476	14,378
.Henry County, Ohio	27,662	27,663	27,555	27,512
.Highland County, Ohio	43,317	43,359	43,423	43,391
.Hocking County, Ohio	28,054	28,039	28,126	27,858
.Holmes County, Ohio	44,217	44,226	44,374	44,390
.Huron County, Ohio	58,565	58,485	58,431	58,218
.Jackson County, Ohio	32,654	32,669	32,518	32,586
.Jefferson County, Ohio	65,247	65,171	65,111	64,330
.Knox County, Ohio	62,711	62,783	62,547	63,183
.Lake County, Ohio	232,524	232,508	232,223	231,842
.Lawrence County, Ohio	58,236	58,136	57,400	56,653
.Licking County, Ohio	178,509	178,769	179,962	181,359
.Logan County, Ohio	46,144	46,106	46,129	46,040
.Lorain County, Ohio	312,974	313,495	314,165	316,268
.Lucas County, Ohio	431,273	430,834	429,360	426,643
.Madison County, Ohio	43,847	43,853	44,404	43,540
.Mahoning County, Ohio	228,621	228,005	226,443	225,636
.Marion County, Ohio	65,366	65,399	65,311	64,642
.Medina County, Ohio	182,475	182,636	183,338	183,512
.Meigs County, Ohio	22,197	22,149	22,085	21,969
.Mercer County, Ohio	42,528	42,526	42,369	42,348
.Miami County, Ohio	108,777	108,950	109,386	110,247
.Monroe County, Ohio	13,383	13,349	13,324	13,234
.Montgomery County, Ohio	537,316	537,093	536,169	533,892
.Morgan County, Ohio	13,802	13,756	13,689	13,668
.Morrow County, Ohio	34,940	34,973	35,197	35,339
.Muskingum County, Ohio	86,412	86,450	86,574	86,113
.Noble County, Ohio	14,106	14,086	14,312	14,335
.Ottawa County, Ohio	40,355	40,287	40,156	39,978
.Paulding County, Ohio	18,803	18,805	18,886	18,757
.Perry County, Ohio	35,409	35,448	35,454	35,480
.Pickaway County, Ohio	58,537	58,646	58,770	60,023
.Pike County, Ohio	27,089	27,069	27,059	27,005
.Portage County, Ohio	161,790	161,833	158,978	161,745
.Preble County, Ohio	40,998	41,001	40,894	40,596
.Putnam County, Ohio	34,448	34,395	34,353	34,334
.Richland County, Ohio	124,933	124,962	125,327	125,319
.Ross County, Ohio	77,095	77,064	76,540	76,606
.Sandusky County, Ohio	58,900	58,865	58,763	58,667
.Scioto County, Ohio	74,012	73,844	73,012	72,194
.Seneca County, Ohio	55,080	55,051	54,954	54,632
.Shelby County, Ohio	48,222	48,138	48,030	47,671
.Stark County, Ohio	374,853	374,486	373,659	372,657
.Summit County, Ohio	540,436	539,792	537,247	535,882
.Trumbull County, Ohio	202,069	201,672	201,444	200,643
.Tuscarawas County, Ohio	93,265	93,183	92,608	91,937
.Union County, Ohio	62,790	63,089	65,110	66,898
.Van Wert County, Ohio	28,937	28,919	28,776	28,769
.Vinton County, Ohio	12,804	12,804	12,707	12,565
.Warren County, Ohio	242,338	243,201	246,822	249,778
.Washington County, Ohio	59,769	59,644	59,459	58,901
.Wayne County, Ohio	116,889	116,906	116,129	116,559
.Williams County, Ohio	37,106	37,077	36,743	36,652
.Wood County, Ohio	132,251	132,248	130,331	131,592
.Wyandot County, Ohio	21,894	21,861	21,704	21,567
.Adair County, Oklahoma	19,494	19,451	19,479	19,576
.Alfalfa County, Oklahoma	5,700	5,708	5,681	5,637
.Atoka County, Oklahoma	14,135	14,154	14,252	14,262
.Beaver County, Oklahoma	5,052	5,029	4,999	5,016
.Beckham County, Oklahoma	22,411	22,342	22,044	22,009
.Blaine County, Oklahoma	8,731	8,702	8,523	8,409
.Bryan County, Oklahoma	46,072	46,327	47,187	48,182
.Caddo County, Oklahoma	26,934	26,900	26,441	26,198
.Canadian County, Oklahoma	154,154	155,425	161,981	169,149
.Carter County, Oklahoma	48,004	48,036	48,324	48,510
.Cherokee County, Oklahoma	47,073	47,090	47,631	48,098
.Choctaw County, Oklahoma	14,203	14,201	14,314	14,358
.Cimarron County, Oklahoma	2,293	2,290	2,255	2,252
.Cleveland County, Oklahoma	295,514	296,207	298,099	299,587
.Coal County, Oklahoma	5,270	5,284	5,319	5,313
.Comanche County, Oklahoma	121,124	121,125	122,438	123,046
.Cotton County, Oklahoma	5,523	5,535	5,467	5,477
.Craig County, Oklahoma	14,104	14,136	14,176	14,123
.Creek County, Oklahoma	71,753	71,837	72,186	72,699
.Custer County, Oklahoma	28,521	28,444	28,132	27,886
.Delaware County, Oklahoma	40,393	40,385	40,927	41,413
.Dewey County, Oklahoma	4,481	4,474	4,415	4,401
.Ellis County, Oklahoma	3,747	3,739	3,731	3,657
.Garfield County, Oklahoma	62,844	62,692	61,947	61,920
.Garvin County, Oklahoma	25,655	25,645	25,738	25,713
.Grady County, Oklahoma	54,800	54,873	55,608	56,658
.Grant County, Oklahoma	4,162	4,174	4,153	4,124
.Greer County, Oklahoma	5,492	5,493	5,483	5,547
.Harmon County, Oklahoma	2,488	2,473	2,413	2,428
.Harper County, Oklahoma	3,266	3,248	3,172	3,129
.Haskell County, Oklahoma	11,562	11,552	11,601	11,641
.Hughes County, Oklahoma	13,367	13,348	13,394	13,407
.Jackson County, Oklahoma	24,785	24,736	24,720	24,556
.Jefferson County, Oklahoma	5,338	5,325	5,396	5,389
.Johnston County, Oklahoma	10,276	10,241	10,357	10,406
.Kay County, Oklahoma	43,701	43,609	43,724	43,668
.Kingfisher County, Oklahoma	15,187	15,174	15,253	15,293
.Kiowa County, Oklahoma	8,503	8,493	8,358	8,345
.Latimer County, Oklahoma	9,446	9,481	9,482	9,630
.Le Flore County, Oklahoma	48,131	48,195	48,601	48,907
.Lincoln County, Oklahoma	33,460	33,495	33,856	34,188
.Logan County, Oklahoma	49,552	49,743	50,924	51,933
.Love County, Oklahoma	10,146	10,159	10,244	10,218
.McClain County, Oklahoma	41,667	41,911	43,497	45,306
.McCurtain County, Oklahoma	30,809	30,838	30,884	30,931
.McIntosh County, Oklahoma	18,944	18,950	19,262	19,451
.Major County, Oklahoma	7,781	7,746	7,617	7,502
.Marshall County, Oklahoma	15,303	15,340	15,546	15,882
.Mayes County, Oklahoma	39,044	39,053	39,246	39,589
.Murray County, Oklahoma	13,905	13,877	13,712	13,672
.Muskogee County, Oklahoma	66,344	66,241	66,255	66,354
.Noble County, Oklahoma	10,925	10,922	10,942	10,896
.Nowata County, Oklahoma	9,322	9,322	9,387	9,483
.Okfuskee County, Oklahoma	11,314	11,271	11,196	11,134
.Oklahoma County, Oklahoma	796,567	798,200	799,622	802,559
.Okmulgee County, Oklahoma	36,706	36,686	36,827	36,990
.Osage County, Oklahoma	45,823	45,778	45,868	45,839
.Ottawa County, Oklahoma	30,291	30,229	30,400	30,338
.Pawnee County, Oklahoma	15,551	15,552	15,761	15,757
.Payne County, Oklahoma	81,649	81,645	82,149	82,794
.Pittsburg County, Oklahoma	43,774	43,784	43,695	43,613
.Pontotoc County, Oklahoma	38,065	38,087	38,195	38,141
.Pottawatomie County, Oklahoma	72,449	72,542	73,092	73,533
.Pushmataha County, Oklahoma	10,816	10,796	10,789	10,769
.Roger Mills County, Oklahoma	3,439	3,428	3,361	3,320
.Rogers County, Oklahoma	95,245	95,387	96,796	98,836
.Seminole County, Oklahoma	23,562	23,515	23,498	23,351
.Sequoyah County, Oklahoma	39,280	39,246	39,442	39,667
.Stephens County, Oklahoma	42,844	42,814	43,174	43,710
.Texas County, Oklahoma	21,386	21,291	20,822	20,495
.Tillman County, Oklahoma	6,967	6,948	7,039	6,977
.Tulsa County, Oklahoma	669,272	670,653	673,961	677,358
.Wagoner County, Oklahoma	80,986	81,379	84,198	86,644
.Washington County, Oklahoma	52,452	52,604	52,857	53,242
.Washita County, Oklahoma	10,922	10,903	10,881	10,732
.Woods County, Oklahoma	8,622	8,598	8,613	8,587
.Woodward County, Oklahoma	20,473	20,406	20,216	19,990
.Baker County, Oregon	16,666	16,725	16,873	16,938
.Benton County, Oregon	95,183	95,208	96,277	97,630
.Clackamas County, Oregon	421,404	422,444	423,763	423,177
.Clatsop County, Oregon	41,078	41,160	41,916	41,695
.Columbia County, Oregon	52,603	52,730	53,229	53,588
.Coos County, Oregon	64,929	64,971	65,119	64,990
.Crook County, Oregon	24,735	24,923	25,753	26,375
.Curry County, Oregon	23,447	23,516	23,720	23,598
.Deschutes County, Oregon	198,256	199,454	205,358	206,549
.Douglas County, Oregon	111,202	111,288	112,057	112,297
.Gilliam County, Oregon	1,997	2,017	2,015	2,018
.Grant County, Oregon	7,233	7,241	7,288	7,218
.Harney County, Oregon	7,499	7,502	7,590	7,515
.Hood River County, Oregon	23,978	23,958	24,094	24,048
.Jackson County, Oregon	223,262	223,614	224,327	221,644
.Jefferson County, Oregon	24,507	24,577	25,122	25,330
.Josephine County, Oregon	88,092	88,235	88,590	87,730
.Klamath County, Oregon	69,416	69,547	70,255	70,212
.Lake County, Oregon	8,158	8,167	8,285	8,385
.Lane County, Oregon	382,975	383,279	384,063	382,353
.Lincoln County, Oregon	50,400	50,507	51,026	50,813
.Linn County, Oregon	128,610	128,978	129,948	130,467
.Malheur County, Oregon	31,575	31,650	31,709	31,879
.Marion County, Oregon	345,910	346,339	347,775	346,703
.Morrow County, Oregon	12,187	12,220	12,358	12,300
.Multnomah County, Oregon	815,429	816,467	805,593	795,083
.Polk County, Oregon	87,432	87,950	89,384	89,614
.Sherman County, Oregon	1,867	1,873	1,912	1,955
.Tillamook County, Oregon	27,393	27,466	27,800	27,574
.Umatilla County, Oregon	80,068	80,098	80,154	80,215
.Union County, Oregon	26,197	26,167	26,276	26,177
.Wallowa County, Oregon	7,387	7,401	7,554	7,659
.Wasco County, Oregon	26,663	26,631	26,735	26,561
.Washington County, Oregon	600,383	601,101	602,494	600,176
.Wheeler County, Oregon	1,449	1,460	1,453	1,445
.Yamhill County, Oregon	107,721	107,931	108,436	108,226
.Adams County, Pennsylvania	103,829	103,779	105,632	106,027
.Allegheny County, Pennsylvania	1,250,585	1,249,524	1,245,445	1,233,253
.Armstrong County, Pennsylvania	65,553	65,459	65,138	64,747
.Beaver County, Pennsylvania	168,228	167,860	166,914	165,677
.Bedford County, Pennsylvania	47,573	47,569	47,495	47,418
.Berks County, Pennsylvania	428,840	428,631	429,612	430,449
.Blair County, Pennsylvania	122,820	122,651	122,181	121,032
.Bradford County, Pennsylvania	59,969	59,969	60,099	59,866
.Bucks County, Pennsylvania	646,526	646,112	647,159	645,054
.Butler County, Pennsylvania	193,767	194,056	196,789	197,300
.Cambria County, Pennsylvania	133,477	133,199	132,281	131,441
.Cameron County, Pennsylvania	4,546	4,531	4,461	4,418
.Carbon County, Pennsylvania	64,750	64,744	65,460	65,460
.Centre County, Pennsylvania	158,163	157,962	157,990	158,425
.Chester County, Pennsylvania	534,408	534,783	540,864	545,823
.Clarion County, Pennsylvania	37,236	37,193	37,581	37,346
.Clearfield County, Pennsylvania	80,564	80,438	78,333	77,904
.Clinton County, Pennsylvania	37,456	37,380	38,035	37,931
.Columbia County, Pennsylvania	64,725	64,682	64,980	64,926
.Crawford County, Pennsylvania	83,937	83,797	83,202	82,670
.Cumberland County, Pennsylvania	259,464	260,223	265,593	268,579
.Dauphin County, Pennsylvania	286,399	286,685	288,187	288,800
.Delaware County, Pennsylvania	576,842	576,323	576,772	575,182
.Elk County, Pennsylvania	30,984	30,926	30,771	30,477
.Erie County, Pennsylvania	270,869	270,539	269,300	267,689
.Fayette County, Pennsylvania	128,816	128,569	127,113	125,755
.Forest County, Pennsylvania	6,974	6,959	6,896	6,626
.Franklin County, Pennsylvania	155,950	155,939	156,589	156,902
.Fulton County, Pennsylvania	14,559	14,572	14,509	14,533
.Greene County, Pennsylvania	35,946	35,859	35,269	34,663
.Huntingdon County, Pennsylvania	44,094	44,047	43,937	43,281
.Indiana County, Pennsylvania	83,231	83,142	83,158	82,957
.Jefferson County, Pennsylvania	44,496	44,478	44,142	43,794
.Juniata County, Pennsylvania	23,496	23,471	23,348	23,339
.Lackawanna County, Pennsylvania	215,911	215,523	215,957	215,615
.Lancaster County, Pennsylvania	552,969	552,761	556,049	556,629
.Lawrence County, Pennsylvania	86,069	85,959	85,554	84,849
.Lebanon County, Pennsylvania	143,262	143,282	143,809	144,011
.Lehigh County, Pennsylvania	374,572	374,477	375,760	376,317
.Luzerne County, Pennsylvania	325,613	325,197	325,889	326,369
.Lycoming County, Pennsylvania	114,182	114,108	113,595	113,104
.McKean County, Pennsylvania	40,426	40,392	40,292	39,866
.Mercer County, Pennsylvania	110,656	110,534	109,950	109,220
.Mifflin County, Pennsylvania	46,145	46,144	46,187	45,988
.Monroe County, Pennsylvania	168,323	168,316	168,629	167,198
.Montgomery County, Pennsylvania	856,559	856,938	864,022	864,683
.Montour County, Pennsylvania	18,145	18,129	18,103	18,091
.Northampton County, Pennsylvania	312,955	312,774	318,051	318,526
.Northumberland County, Pennsylvania	91,647	91,542	91,013	90,133
.Perry County, Pennsylvania	45,837	45,828	45,941	46,114
.Philadelphia County, Pennsylvania	1,603,799	1,600,600	1,589,480	1,567,258
.Pike County, Pennsylvania	58,537	58,560	59,965	60,558
.Potter County, Pennsylvania	16,401	16,385	16,287	16,220
.Schuylkill County, Pennsylvania	143,048	142,946	143,201	143,104
.Snyder County, Pennsylvania	39,735	39,727	39,742	39,652
.Somerset County, Pennsylvania	74,147	74,016	72,999	72,710
.Sullivan County, Pennsylvania	5,832	5,823	5,859	5,855
.Susquehanna County, Pennsylvania	38,423	38,334	38,363	38,074
.Tioga County, Pennsylvania	41,046	41,014	41,335	41,106
.Union County, Pennsylvania	42,675	42,639	42,419	42,744
.Venango County, Pennsylvania	50,455	50,354	50,038	49,777
.Warren County, Pennsylvania	38,594	38,516	38,115	37,808
.Washington County, Pennsylvania	209,325	209,382	210,012	210,383
.Wayne County, Pennsylvania	51,151	51,151	51,195	51,173
.Westmoreland County, Pennsylvania	354,663	354,316	353,765	352,057
.Wyoming County, Pennsylvania	26,073	26,030	26,100	26,014
.York County, Pennsylvania	456,442	456,692	459,148	461,058
.Bristol County, Rhode Island	50,786	50,774	50,800	50,360
.Kent County, Rhode Island	170,358	170,386	170,997	171,275
.Newport County, Rhode Island	85,652	85,508	85,662	84,481
.Providence County, Rhode Island	660,739	659,920	658,646	657,288
.Washington County, Rhode Island	129,836	129,757	130,880	130,330
.Abbeville County, South Carolina	24,287	24,256	24,258	24,356
.Aiken County, South Carolina	168,811	169,163	171,263	174,150
.Allendale County, South Carolina	8,037	7,992	7,870	7,579
.Anderson County, South Carolina	203,723	204,176	206,852	209,581
.Bamberg County, South Carolina	13,313	13,261	13,112	12,908
.Barnwell County, South Carolina	20,585	20,580	20,580	20,414
.Beaufort County, South Carolina	187,108	187,819	192,007	196,371
.Berkeley County, South Carolina	229,854	231,538	236,871	245,117
.Calhoun County, South Carolina	14,122	14,113	14,134	14,179
.Charleston County, South Carolina	408,317	409,716	414,403	419,279
.Cherokee County, South Carolina	56,216	56,207	56,025	56,121
.Chester County, South Carolina	32,294	32,278	32,097	31,931
.Chesterfield County, South Carolina	43,270	43,250	43,337	43,683
.Clarendon County, South Carolina	31,148	30,835	30,950	30,913
.Colleton County, South Carolina	38,604	38,536	38,427	38,599
.Darlington County, South Carolina	62,907	62,843	62,708	62,398
.Dillon County, South Carolina	28,295	28,275	27,981	27,738
.Dorchester County, South Carolina	161,469	162,159	163,508	166,133
.Edgefield County, South Carolina	25,648	25,672	26,285	26,932
.Fairfield County, South Carolina	20,951	20,880	20,698	20,455
.Florence County, South Carolina	137,064	136,811	136,439	136,721
.Georgetown County, South Carolina	63,402	63,506	63,991	64,722
.Greenville County, South Carolina	525,539	527,207	534,521	547,950
.Greenwood County, South Carolina	69,349	69,388	69,148	69,267
.Hampton County, South Carolina	18,561	18,519	18,236	18,113
.Horry County, South Carolina	351,028	353,745	366,011	383,101
.Jasper County, South Carolina	28,806	29,143	30,456	32,039
.Kershaw County, South Carolina	65,407	65,581	66,121	67,751
.Lancaster County, South Carolina	96,010	96,576	100,522	104,577
.Laurens County, South Carolina	67,533	67,624	67,817	67,965
.Lee County, South Carolina	16,530	16,533	16,266	16,153
.Lexington County, South Carolina	293,985	295,033	300,482	304,797
.McCormick County, South Carolina	9,522	9,505	9,782	9,764
.Marion County, South Carolina	29,187	29,083	28,839	28,450
.Marlboro County, South Carolina	26,668	26,481	26,265	26,039
.Newberry County, South Carolina	37,722	37,731	37,957	38,247
.Oconee County, South Carolina	78,604	78,778	79,322	80,180
.Orangeburg County, South Carolina	84,225	83,956	82,798	83,094
.Pickens County, South Carolina	131,401	131,669	132,079	133,462
.Richland County, South Carolina	416,145	415,645	417,132	421,566
.Saluda County, South Carolina	18,859	18,830	18,821	18,938
.Spartanburg County, South Carolina	328,002	329,365	335,406	345,831
.Sumter County, South Carolina	105,554	105,474	104,856	104,012
.Union County, South Carolina	27,240	27,176	26,994	26,752
.Williamsburg County, South Carolina	31,019	30,908	30,384	30,058
.York County, South Carolina	282,108	284,032	289,255	294,248
.Aurora County, South Dakota	2,746	2,733	2,732	2,755
.Beadle County, South Dakota	19,153	19,165	19,182	19,376
.Bennett County, South Dakota	3,378	3,389	3,400	3,336
.Bon Homme County, South Dakota	6,997	6,973	7,011	7,062
.Brookings County, South Dakota	34,380	34,350	34,710	35,484
.Brown County, South Dakota	38,301	38,222	38,090	37,972
.Brule County, South Dakota	5,253	5,253	5,254	5,321
.Buffalo County, South Dakota	1,945	1,938	1,912	1,861
.Butte County, South Dakota	10,238	10,286	10,530	10,774
.Campbell County, South Dakota	1,375	1,377	1,375	1,349
.Charles Mix County, South Dakota	9,370	9,356	9,186	9,213
.Clark County, South Dakota	3,844	3,855	3,867	3,912
.Clay County, South Dakota	14,966	14,996	15,155	15,280
.Codington County, South Dakota	28,323	28,350	28,467	28,721
.Corson County, South Dakota	3,901	3,891	3,843	3,826
.Custer County, South Dakota	8,319	8,334	8,635	9,006
.Davison County, South Dakota	19,960	19,962	19,926	19,973
.Day County, South Dakota	5,451	5,442	5,435	5,479
.Deuel County, South Dakota	4,293	4,294	4,280	4,352
.Dewey County, South Dakota	5,242	5,224	5,218	5,140
.Douglas County, South Dakota	2,828	2,829	2,809	2,776
.Edmunds County, South Dakota	3,981	3,982	4,028	4,065
.Fall River County, South Dakota	6,971	6,972	7,189	7,370
.Faulk County, South Dakota	2,126	2,128	2,126	2,126
.Grant County, South Dakota	7,556	7,532	7,532	7,463
.Gregory County, South Dakota	3,991	3,997	3,952	3,962
.Haakon County, South Dakota	1,876	1,870	1,834	1,826
.Hamlin County, South Dakota	6,159	6,157	6,263	6,352
.Hand County, South Dakota	3,146	3,145	3,095	3,140
.Hanson County, South Dakota	3,462	3,465	3,496	3,461
.Harding County, South Dakota	1,309	1,307	1,320	1,330
.Hughes County, South Dakota	17,774	17,745	17,768	17,692
.Hutchinson County, South Dakota	7,423	7,421	7,400	7,368
.Hyde County, South Dakota	1,260	1,249	1,215	1,184
.Jackson County, South Dakota	2,807	2,801	2,846	2,821
.Jerauld County, South Dakota	1,663	1,648	1,640	1,650
.Jones County, South Dakota	919	925	884	884
.Kingsbury County, South Dakota	5,184	5,203	5,201	5,294
.Lake County, South Dakota	11,057	11,008	10,863	10,972
.Lawrence County, South Dakota	25,766	25,838	26,138	27,214
.Lincoln County, South Dakota	65,165	65,650	67,995	70,987
.Lyman County, South Dakota	3,722	3,709	3,753	3,692
.McCook County, South Dakota	5,682	5,673	5,723	5,778
.McPherson County, South Dakota	2,409	2,402	2,414	2,395
.Marshall County, South Dakota	4,317	4,315	4,319	4,374
.Meade County, South Dakota	29,851	29,900	30,270	30,698
.Mellette County, South Dakota	1,920	1,921	1,908	1,892
.Miner County, South Dakota	2,307	2,310	2,329	2,304
.Minnehaha County, South Dakota	197,209	197,686	199,925	203,971
.Moody County, South Dakota	6,340	6,343	6,314	6,349
.Oglala Lakota County, South Dakota	13,669	13,645	13,549	13,519
.Pennington County, South Dakota	109,231	109,563	111,854	114,461
.Perkins County, South Dakota	2,842	2,842	2,823	2,804
.Potter County, South Dakota	2,480	2,480	2,471	2,438
.Roberts County, South Dakota	10,271	10,250	10,178	10,163
